typology_code,all_forms,abbreviations,pot_name_en,pot_name_nl,pot_name_de,pot_name_fr,ware_type,vessel_form,production_region,date_start,date_end,date_confidence,date_source
Deru P18,Deru P18,Deru P18|DeruP18,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
Deru P19,Deru P19,Deru P19|DeruP19,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
Deru P2,Deru P2,Deru P2|DeruP2,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-50,20,certain,Deru 1996
Deru P20,Deru P20,Deru P20|DeruP20,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
Deru P21,Deru P21,Deru P21|DeruP21,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
Deru P22,Deru P22,Deru P22|DeruP22,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
Deru P23,Deru P23,Deru P23|DeruP23,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
Deru P24,Deru P24,Deru P24|DeruP24,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
Deru P25,Deru P25,Deru P25|DeruP25,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
Deru P26,Deru P26,Deru P26|DeruP26,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
Deru P27,Deru P27,Deru P27|DeruP27,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
Deru P28,Deru P28,Deru P28|DeruP28,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
Deru P29,Deru P29,Deru P29|DeruP29,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
Deru P3,Deru P3,Deru P3|DeruP3,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-40,40,certain,Deru 1996
Deru P30,Deru P30,Deru P30|DeruP30,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
Deru P31,Deru P31,Deru P31|DeruP31,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,270,certain,Deru 1996
Deru P32,Deru P32,Deru P32|DeruP32,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,270,certain,Deru 1996
Deru P33,Deru P33,Deru P33|DeruP33,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,270,certain,Deru 1996
Deru P34,Deru P34,Deru P34|DeruP34,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
Deru P35,Deru P35,Deru P35|DeruP35,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
Deru P36,Deru P36,Deru P36|DeruP36,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,350,certain,Deru 1996
Deru P37,Deru P37,Deru P37|DeruP37,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,350,certain,Deru 1996
Deru P38,Deru P38,Deru P38|DeruP38,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,350,certain,Deru 1996
Deru P39,Deru P39,Deru P39|DeruP39,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,400,certain,Deru 1996
Deru P4,Deru P4,Deru P4|DeruP4,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-30,50,certain,Deru 1996
Deru P40,Deru P40,Deru P40|DeruP40,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,400,certain,Deru 1996
Deru P5,Deru P5,Deru P5|DeruP5,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-20,70,certain,Deru 1996
Deru P6,Deru P6,Deru P6|DeruP6,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-10,80,certain,Deru 1996
Deru P7,Deru P7,Deru P7|DeruP7,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),1,80,certain,Deru 1996
Deru P8,Deru P8,Deru P8|DeruP8,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),1,80,certain,Deru 1996
Deru P9,Deru P9,Deru P9|DeruP9,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),20,100,certain,Deru 1996
Deru T1,Deru T1,Deru T1|DeruT1,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),-60,10,certain,Deru 1996
Deru T2,Deru T2,Deru T2|DeruT2,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),-40,30,certain,Deru 1996
Deru T3,Deru T3,Deru T3|DeruT3,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),-20,60,certain,Deru 1996
Deru T4,Deru T4,Deru T4|DeruT4,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
Deru T5,Deru T5,Deru T5|DeruT5,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
Deru T6,Deru T6,Deru T6|DeruT6,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
Dragendorff 1,Dragendorff 1,Drag. 1|Drag.1|Dr. 1|Dr.1|D. 1|D.1,Terra sigillata tazza,Terra sigillata tazza,Terra Sigillata Tazza,Sigillée tasse,terra sigillata,tazza,Gaulish (South/Central/East — varies by type and period),-40,30,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 10,Dragendorff 10,Drag. 10|Drag.10|Dr. 10|Dr.10|D. 10|D.10,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),-10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 11,Dragendorff 11,Drag. 11|Drag.11|Dr. 11|Dr.11|D. 11|D.11,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),-10,70,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 12,Dragendorff 12,Drag. 12|Drag.12|Dr. 12|Dr.12|D. 12|D.12,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),-30,20,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 13,Dragendorff 13,Drag. 13|Drag.13|Dr. 13|Dr.13|D. 13|D.13,Terra sigillata inkwell,Terra sigillata inktpot,Terra Sigillata Tintenfass,Sigillée encrier,terra sigillata,inkwell,Gaulish (South/Central/East — varies by type and period),-10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 14,Dragendorff 14,Drag. 14|Drag.14|Dr. 14|Dr.14|D. 14|D.14,Terra sigillata inkwell,Terra sigillata inktpot,Terra Sigillata Tintenfass,Sigillée encrier,terra sigillata,inkwell,Gaulish (South/Central/East — varies by type and period),-10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 15,Dragendorff 15|Dragendorff 17,Drag. 15|Dr. 15|D.15|Drag. 17|Dr. 17|D.17,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,South Gaulish,-10,100,certain,Dragendorff 1895
Dragendorff 15/17,Dragendorff 15/17,Drag. 15/17|Drag.15/17|Dr. 15/17|Dr.15/17|D. 15/17|D.15/17,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 16,Dragendorff 16,Drag. 16|Drag.16|Dr. 16|Dr.16|D. 16|D.16,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 18,Dragendorff 18,Drag. 18|Drag.18|Dr. 18|Dr.18|D. 18|D.18,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),40,120,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 18/31,Dragendorff 18/31,Drag. 18/31|Drag.18/31|Dr. 18/31|Dr.18/31|D. 18/31|D.18/31,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),70,200,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 18R,Dragendorff 18R,Drag. 18R|Dr. 18R,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Central Gaulish,70,180,certain,Oswald & Pryce 1920
Dragendorff 19,Dragendorff 19,Drag. 19|Drag.19|Dr. 19|Dr.19|D. 19|D.19,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 2,Dragendorff 2,Drag. 2|Drag.2|Dr. 2|Dr.2|D. 2|D.2,Terra sigillata two-handled cup,Terra sigillata tweehandige beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),-40,20,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 20,Dragendorff 20,Drag. 20|Drag.20|Dr. 20|Dr.20|D. 20|D.20,Terra sigillata amphora,Terra sigillata amfoor,Terra Sigillata Amphore,Sigillée amphore,terra sigillata,amphora,Gaulish (South/Central/East — varies by type and period),-10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 21,Dragendorff 21,Drag. 21|Drag.21|Dr. 21|Dr.21|D. 21|D.21,Terra sigillata lid,Terra sigillata deksel,Terra Sigillata Deckel,Sigillée couvercle,terra sigillata,lid,Gaulish (South/Central/East — varies by type and period),10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 22,Dragendorff 22,Drag. 22|Drag.22|Dr. 22|Dr.22|D. 22|D.22,Terra sigillata lid,Terra sigillata deksel,Terra Sigillata Deckel,Sigillée couvercle,terra sigillata,lid,Gaulish (South/Central/East — varies by type and period),-20,60,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 23,Dragendorff 23,Drag. 23|Drag.23|Dr. 23|Dr.23|D. 23|D.23,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),20,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 24,Dragendorff 24,Drag. 24|Drag.24|Dr. 24|Dr.24|D. 24|D.24,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),15,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 24/25,Dragendorff 24/25,Drag. 24/25|Drag.24/25|Dr. 24/25|Dr.24/25|D. 24/25|D.24/25,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),15,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 25,Dragendorff 25,Drag. 25|Drag.25|Dr. 25|Dr.25|D. 25|D.25,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),30,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 26,Dragendorff 26,Drag. 26|Drag.26|Dr. 26|Dr.26|D. 26|D.26,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),40,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 27,Dragendorff 27,Drag. 27|Drag.27|Dr. 27|Dr.27|D. 27|D.27,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),15,200,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 28,Dragendorff 28,Drag. 28|Drag.28|Dr. 28|Dr.28|D. 28|D.28,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),15,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 29,Dragendorff 29,Drag. 29|Drag.29|Dr. 29|Dr.29|D. 29|D.29,Terra sigillata decorated bowl,Terra sigillata versierd kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),15,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 3,Dragendorff 3,Drag. 3|Drag.3|Dr. 3|Dr.3|D. 3|D.3,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),-30,20,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 30,Dragendorff 30,Drag. 30|Drag.30|Dr. 30|Dr.30|D. 30|D.30,Terra sigillata decorated bowl,Terra sigillata versierd kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),20,200,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 31R,Dragendorff 31R,Drag. 31R|Drag.31R|Dr. 31R|Dr.31R|D. 31R|D.31R,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),120,280,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 32,Dragendorff 32,Drag. 32|Drag.32|Dr. 32|Dr.32|D. 32|D.32,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),150,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 33,Dragendorff 33,Drag. 33|Drag.33|Dr. 33|Dr.33|D. 33|D.33,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),40,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 34,Dragendorff 34,Drag. 34|Drag.34|Dr. 34|Dr.34|D. 34|D.34,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),70,180,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 35,Dragendorff 35,Drag. 35|Drag.35|Dr. 35|Dr.35|D. 35|D.35,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),70,200,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 36,Dragendorff 36,Drag. 36|Drag.36|Dr. 36|Dr.36|D. 36|D.36,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),70,250,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 37,Dragendorff 37,Drag. 37|Drag.37|Dr. 37|Dr.37|D. 37|D.37,Terra sigillata decorated bowl,Terra sigillata versierd kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),70,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 37R,Dragendorff 37R,Drag. 37R|Dr. 37R,Terra sigillata decorated bowl,Terra sigillata versierd kom,Terra Sigillata verzierte Schüssel,Sigillée bol décoré,terra sigillata,bowl,Central Gaulish,70,250,certain,Oswald & Pryce 1920
Dragendorff 38,Dragendorff 38,Drag. 38|Drag.38|Dr. 38|Dr.38|D. 38|D.38,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),100,260,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 39,Dragendorff 39,Drag. 39|Drag.39|Dr. 39|Dr.39|D. 39|D.39,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),60,160,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 4,Dragendorff 4,Drag. 4|Drag.4|Dr. 4|Dr.4|D. 4|D.4,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),-20,60,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 40,Dragendorff 40,Drag. 40|Drag.40|Dr. 40|Dr.40|D. 40|D.40,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),150,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 41,Dragendorff 41,Drag. 41|Drag.41|Dr. 41|Dr.41|D. 41|D.41,Terra sigillata beaker,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,beaker,Gaulish (South/Central/East — varies by type and period),70,200,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 42,Dragendorff 42,Drag. 42|Drag.42|Dr. 42|Dr.42|D. 42|D.42,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),100,250,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 43,Dragendorff 43,Drag. 43|Drag.43|Dr. 43|Dr.43|D. 43|D.43,Terra sigillata mortarium,Terra sigillata mortarium,Terra Sigillata Reibschüssel,Sigillée mortier,terra sigillata,mortarium,Gaulish (South/Central/East — varies by type and period),150,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 44,Dragendorff 44,Drag. 44|Drag.44|Dr. 44|Dr.44|D. 44|D.44,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),150,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 46,Dragendorff 46,Drag. 46|Drag.46|Dr. 46|Dr.46|D. 46|D.46,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),150,300,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 47,Dragendorff 47,Drag. 47|Drag.47|Dr. 47|Dr.47|D. 47|D.47,Terra sigillata tazza,Terra sigillata tazza,Terra Sigillata Tazza,Sigillée tasse,terra sigillata,tazza,Gaulish (South/Central/East — varies by type and period),200,400,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 5,Dragendorff 5,Drag. 5|Drag.5|Dr. 5|Dr.5|D. 5|D.5,Terra sigillata goblet,Terra sigillata voetbeker,Terra Sigillata Kelch,Sigillée calice,terra sigillata,goblet,Gaulish (South/Central/East — varies by type and period),-20,60,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 52,Dragendorff 52,Drag. 52|Drag.52|Dr. 52|Dr.52|D. 52|D.52,Terra sigillata two-handled cup,Terra sigillata tweehandige beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),50,200,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 53,Dragendorff 53,Drag. 53|Drag.53|Dr. 53|Dr.53|D. 53|D.53,Terra sigillata jug,Terra sigillata kruik,Terra Sigillata Krug,Sigillée cruche,terra sigillata,jug,Gaulish (South/Central/East — varies by type and period),100,250,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 54,Dragendorff 54,Drag. 54|Drag.54|Dr. 54|Dr.54|D. 54|D.54,Terra sigillata tazza,Terra sigillata tazza,Terra Sigillata Tazza,Sigillée tasse,terra sigillata,tazza,Gaulish (South/Central/East — varies by type and period),-30,50,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 6,Dragendorff 6,Drag. 6|Drag.6|Dr. 6|Dr.6|D. 6|D.6,Terra sigillata small cup,Terra sigillata klein beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),-20,60,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 7,Dragendorff 7,Drag. 7|Drag.7|Dr. 7|Dr.7|D. 7|D.7,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),-10,70,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 8,Dragendorff 8,Drag. 8|Drag.8|Dr. 8|Dr.8|D. 8|D.8,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),-10,70,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dragendorff 9,Dragendorff 9,Drag. 9|Drag.9|Dr. 9|Dr.9|D. 9|D.9,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
Dressel 1,Dressel 1|Dressel 1A|Dressel 1B|Dressel 1C,Dres. 1A|Dres.1A|Dres. 1B|Dres.1B|Dres. 1C|Dres.1C|Dres. 1,Italian wine amphora,Italische wijnamfoor,Italische Weinamphore,Amphore à vin italique,amphora,amphora,Italian (Campania / Etruria),-150,-10,certain,Dressel 1899
Dressel 10,Dressel 10,Dres. 10|Dres.10,Spanish fish sauce amphora,Spaanse vissausamfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",-30,70,certain,Dressel 1899; Callender 1965
Dressel 11,Dressel 11,Dres. 11|Dres.11,Spanish fish sauce amphora,Spaanse vissausamfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",-10,80,certain,Dressel 1899; Callender 1965
Dressel 12,Dressel 12,Dres. 12|Dres.12,Spanish fish sauce amphora,Spaanse vissausamfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",-20,80,certain,Dressel 1899; Callender 1965
Dressel 13,Dressel 13,Dres. 13|Dres.13,Spanish fish sauce amphora,Spaanse vissausamfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",-20,80,certain,Dressel 1899; Callender 1965
Dressel 14,Dressel 14,Dres. 14|Dres.14,Lusitanian fish sauce amphora,Lusitaanse vissausamfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",-10,100,certain,Dressel 1899; Callender 1965
Dressel 14A,Dressel 14A,Dres. 14A|Dres.14A,amphora,amfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",50,150,certain,Dressel 1899; Callender 1965
Dressel 15,Dressel 15,Dres. 15|Dres.15,Spanish fish sauce amphora,Spaanse vissausamfoor,Amphore Amphore,Amphore amphore,amphora,amphora,"varies by type (Italian, Spanish, Gallic, African)",-20,80,certain,Dressel 1899; Callender 1965
