id,typology_code,synonyms,abbreviations,pot_name_en,pot_name_nl,pot_name_de,pot_name_fr,ware_type,vessel_form,production_region,date_start,date_end,date_confidence,date_source
197,Deru A1,,Deru A1|DeruA1,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),-60,10,certain,Deru 1996
198,Deru A10,,Deru A10|DeruA10,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
199,Deru A11,,Deru A11|DeruA11,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
200,Deru A12,,Deru A12|DeruA12,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
201,Deru A13,,Deru A13|DeruA13,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
202,Deru A14,,Deru A14|DeruA14,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),70,180,certain,Deru 1996
203,Deru A15,,Deru A15|DeruA15,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),70,180,certain,Deru 1996
204,Deru A16,,Deru A16|DeruA16,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
205,Deru A17,,Deru A17|DeruA17,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
206,Deru A18,,Deru A18|DeruA18,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
207,Deru A19,,Deru A19|DeruA19,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
208,Deru A2,,Deru A2|DeruA2,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),-50,20,certain,Deru 1996
209,Deru A20,,Deru A20|DeruA20,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
210,Deru A21,,Deru A21|DeruA21,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),120,220,certain,Deru 1996
211,Deru A22,,Deru A22|DeruA22,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),120,220,certain,Deru 1996
212,Deru A23,,Deru A23|DeruA23,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),120,220,certain,Deru 1996
213,Deru A24,,Deru A24|DeruA24,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),120,220,certain,Deru 1996
214,Deru A25,,Deru A25|DeruA25,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),120,220,certain,Deru 1996
215,Deru A26,,Deru A26|DeruA26,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
216,Deru A27,,Deru A27|DeruA27,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
217,Deru A28,,Deru A28|DeruA28,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
218,Deru A29,,Deru A29|DeruA29,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
219,Deru A3,,Deru A3|DeruA3,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),-40,30,certain,Deru 1996
220,Deru A30,,Deru A30|DeruA30,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
221,Deru A31,,Deru A31|DeruA31,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),175,260,certain,Deru 1996
222,Deru A32,,Deru A32|DeruA32,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),175,260,certain,Deru 1996
223,Deru A33,,Deru A33|DeruA33,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),175,260,certain,Deru 1996
224,Deru A34,,Deru A34|DeruA34,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),175,270,certain,Deru 1996
225,Deru A35,,Deru A35|DeruA35,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),175,270,certain,Deru 1996
226,Deru A36,,Deru A36|DeruA36,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),200,280,certain,Deru 1996
227,Deru A37,,Deru A37|DeruA37,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),200,280,certain,Deru 1996
228,Deru A38,,Deru A38|DeruA38,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,250,certain,Deru 1996
229,Deru A39,,Deru A39|DeruA39,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
230,Deru A4,,Deru A4|DeruA4,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),-30,50,certain,Deru 1996
231,Deru A40,,Deru A40|DeruA40,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
232,Deru A41,,Deru A41|DeruA41,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),100,250,certain,Deru 1996
233,Deru A5,,Deru A5|DeruA5,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),-20,70,certain,Deru 1996
234,Deru A6,,Deru A6|DeruA6,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),-10,80,certain,Deru 1996
235,Deru A7,,Deru A7|DeruA7,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
236,Deru A8,,Deru A8|DeruA8,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
237,Deru A9,,Deru A9|DeruA9,Belgic ware plate,Belgisch aardewerk bord,Belgische Ware Teller,Céramique belge assiette,belgic ware,plate,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
238,Deru B1,,Deru B1|DeruB1,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),-60,10,certain,Deru 1996
239,Deru B10,,Deru B10|DeruB10,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
240,Deru B2,,Deru B2|DeruB2,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),-50,20,certain,Deru 1996
241,Deru B3,,Deru B3|DeruB3,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),-40,40,certain,Deru 1996
242,Deru B4,,Deru B4|DeruB4,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),-20,70,certain,Deru 1996
243,Deru B5,,Deru B5|DeruB5,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),-10,80,certain,Deru 1996
244,Deru B6,,Deru B6|DeruB6,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
245,Deru B7,,Deru B7|DeruB7,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),70,180,certain,Deru 1996
246,Deru B8,,Deru B8|DeruB8,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
247,Deru B9,,Deru B9|DeruB9,Belgic ware bowl,Belgisch aardewerk kom,Belgische Ware Schüssel,Céramique belge bol,belgic ware,bowl,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
248,Deru C1,,Deru C1|DeruC1,Belgic ware jug,Belgisch aardewerk kruik,Belgische Ware Krug,Céramique belge cruche,belgic ware,jug,Rhineland / NE Gaul (Champagne-Ardenne),-40,40,certain,Deru 1996
249,Deru C2,,Deru C2|DeruC2,Belgic ware jug,Belgisch aardewerk kruik,Belgische Ware Krug,Céramique belge cruche,belgic ware,jug,Rhineland / NE Gaul (Champagne-Ardenne),-20,70,certain,Deru 1996
250,Deru C3,,Deru C3|DeruC3,Belgic ware jug,Belgisch aardewerk kruik,Belgische Ware Krug,Céramique belge cruche,belgic ware,jug,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
251,Deru C4,,Deru C4|DeruC4,Belgic ware jug,Belgisch aardewerk kruik,Belgische Ware Krug,Céramique belge cruche,belgic ware,jug,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
252,Deru C5,,Deru C5|DeruC5,Belgic ware jug,Belgisch aardewerk kruik,Belgische Ware Krug,Céramique belge cruche,belgic ware,jug,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
253,Deru C6,,Deru C6|DeruC6,Belgic ware jug,Belgisch aardewerk kruik,Belgische Ware Krug,Céramique belge cruche,belgic ware,jug,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
254,Deru G1,,Deru G1|DeruG1,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),-60,10,certain,Deru 1996
255,Deru G10,,Deru G10|DeruG10,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
256,Deru G2,,Deru G2|DeruG2,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),-50,20,certain,Deru 1996
257,Deru G3,,Deru G3|DeruG3,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),-40,40,certain,Deru 1996
258,Deru G4,,Deru G4|DeruG4,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),-20,70,certain,Deru 1996
259,Deru G5,,Deru G5|DeruG5,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),-10,80,certain,Deru 1996
260,Deru G6,,Deru G6|DeruG6,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
261,Deru G7,,Deru G7|DeruG7,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),70,180,certain,Deru 1996
262,Deru G8,,Deru G8|DeruG8,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
263,Deru G9,,Deru G9|DeruG9,Belgic ware beaker,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,beaker,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
264,Deru P1,,Deru P1|DeruP1,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-60,10,certain,Deru 1996
265,Deru P10,,Deru P10|DeruP10,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),20,100,certain,Deru 1996
266,Deru P11,,Deru P11|DeruP11,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),40,120,certain,Deru 1996
267,Deru P12,,Deru P12|DeruP12,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),40,120,certain,Deru 1996
268,Deru P13,,Deru P13|DeruP13,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),40,120,certain,Deru 1996
269,Deru P14,,Deru P14|DeruP14,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
270,Deru P15,,Deru P15|DeruP15,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
271,Deru P16,,Deru P16|DeruP16,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,150,certain,Deru 1996
272,Deru P17,,Deru P17|DeruP17,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,150,certain,Deru 1996
273,Deru P18,,Deru P18|DeruP18,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
274,Deru P19,,Deru P19|DeruP19,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
275,Deru P2,,Deru P2|DeruP2,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-50,20,certain,Deru 1996
276,Deru P20,,Deru P20|DeruP20,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),70,170,certain,Deru 1996
277,Deru P21,,Deru P21|DeruP21,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
278,Deru P22,,Deru P22|DeruP22,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
279,Deru P23,,Deru P23|DeruP23,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
280,Deru P24,,Deru P24|DeruP24,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
281,Deru P25,,Deru P25|DeruP25,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
282,Deru P26,,Deru P26|DeruP26,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
283,Deru P27,,Deru P27|DeruP27,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
284,Deru P28,,Deru P28|DeruP28,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,230,certain,Deru 1996
285,Deru P29,,Deru P29|DeruP29,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
286,Deru P3,,Deru P3|DeruP3,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-40,40,certain,Deru 1996
287,Deru P30,,Deru P30|DeruP30,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
288,Deru P31,,Deru P31|DeruP31,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,270,certain,Deru 1996
289,Deru P32,,Deru P32|DeruP32,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,270,certain,Deru 1996
290,Deru P33,,Deru P33|DeruP33,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,270,certain,Deru 1996
291,Deru P34,,Deru P34|DeruP34,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
292,Deru P35,,Deru P35|DeruP35,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),200,300,certain,Deru 1996
293,Deru P36,,Deru P36|DeruP36,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,350,certain,Deru 1996
294,Deru P37,,Deru P37|DeruP37,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,350,certain,Deru 1996
295,Deru P38,,Deru P38|DeruP38,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,350,certain,Deru 1996
296,Deru P39,,Deru P39|DeruP39,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,400,certain,Deru 1996
297,Deru P4,,Deru P4|DeruP4,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-30,50,certain,Deru 1996
298,Deru P40,,Deru P40|DeruP40,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),250,400,certain,Deru 1996
299,Deru P5,,Deru P5|DeruP5,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-20,70,certain,Deru 1996
300,Deru P6,,Deru P6|DeruP6,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),-10,80,certain,Deru 1996
301,Deru P7,,Deru P7|DeruP7,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),1,80,certain,Deru 1996
302,Deru P8,,Deru P8|DeruP8,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),1,80,certain,Deru 1996
303,Deru P9,,Deru P9|DeruP9,Belgic ware pot,Belgisch aardewerk pot,Belgische Ware Topf,Céramique belge pot,belgic ware,jar,Rhineland / NE Gaul (Champagne-Ardenne),20,100,certain,Deru 1996
304,Deru T1,,Deru T1|DeruT1,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),-60,10,certain,Deru 1996
305,Deru T2,,Deru T2|DeruT2,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),-40,30,certain,Deru 1996
306,Deru T3,,Deru T3|DeruT3,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),-20,60,certain,Deru 1996
307,Deru T4,,Deru T4|DeruT4,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),50,150,certain,Deru 1996
308,Deru T5,,Deru T5|DeruT5,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),100,200,certain,Deru 1996
309,Deru T6,,Deru T6|DeruT6,Belgic ware cup,Belgisch aardewerk beker,Belgische Ware Becher,Céramique belge gobelet,belgic ware,cup,Rhineland / NE Gaul (Champagne-Ardenne),150,250,certain,Deru 1996
310,Dragendorff 1,,Drag. 1|Drag.1|Dr. 1|Dr.1|D. 1|D.1,Terra sigillata tazza,Terra sigillata tazza,Terra Sigillata Tazza,Sigillée tasse,terra sigillata,tazza,Gaulish (South/Central/East — varies by type and period),-40,30,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
311,Dragendorff 10,,Drag. 10|Drag.10|Dr. 10|Dr.10|D. 10|D.10,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),-10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
312,Dragendorff 11,,Drag. 11|Drag.11|Dr. 11|Dr.11|D. 11|D.11,Terra sigillata bowl,Terra sigillata kom,Terra Sigillata Schüssel,Sigillée bol,terra sigillata,bowl,Gaulish (South/Central/East — varies by type and period),-10,70,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
313,Dragendorff 12,,Drag. 12|Drag.12|Dr. 12|Dr.12|D. 12|D.12,Terra sigillata cup,Terra sigillata beker,Terra Sigillata Becher,Sigillée gobelet,terra sigillata,cup,Gaulish (South/Central/East — varies by type and period),-30,20,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
314,Dragendorff 13,,Drag. 13|Drag.13|Dr. 13|Dr.13|D. 13|D.13,Terra sigillata inkwell,Terra sigillata inktpot,Terra Sigillata Tintenfass,Sigillée encrier,terra sigillata,inkwell,Gaulish (South/Central/East — varies by type and period),-10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
315,Dragendorff 14,,Drag. 14|Drag.14|Dr. 14|Dr.14|D. 14|D.14,Terra sigillata inkwell,Terra sigillata inktpot,Terra Sigillata Tintenfass,Sigillée encrier,terra sigillata,inkwell,Gaulish (South/Central/East — varies by type and period),-10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
316,Dragendorff 15/17,,Drag. 15/17|Drag.15/17|Dr. 15/17|Dr.15/17|D. 15/17|D.15/17,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),10,100,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
317,Dragendorff 16,,Drag. 16|Drag.16|Dr. 16|Dr.16|D. 16|D.16,Terra sigillata plate,Terra sigillata bord,Terra Sigillata Teller,Sigillée assiette,terra sigillata,plate,Gaulish (South/Central/East — varies by type and period),10,80,certain,Dragendorff 1895; Oswald & Pryce 1920; Webster 1996
